tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,404,5132,9728,21272,2,181.05957644868514,0.0003529270652984149,0.004049869473504409,0.19754621492002308,0.001786554429510573,1107195,0.9514297720150174,19.373981847800792,0.708517570397952,9.997524752475247,0.11122099969634179,10,10,10,8.648310492652747,0.18711915073008087,0.013039066731931958,0.008572365284938453,0.015229647580023792,2.6087109139537574,0.00854772596030962,0.01675880964121387,1.9975247524752475,299.7524752475247,1,,0.0011636025133814289
5000,406,5105,5103,21670,1,183.06397804054055,0.00010772972217192289,0.004156762790612386,0.19781698324688213,0.0005445928878486263,596827,0.9432063138863779,20.375844594594593,0.7550675675675675,9.997536945812808,0.04956800935344375,10,10,10,8.660409808810746,0.20072362320685078,0.01823032404432397,0.009412977729372007,0.023989530381745994,2.6087818436035963,0.00729783219248306,0.030393779545373357,2,300,1,,0.001900337837837838
7500,412,5110,5104,22005,2,184.94404408647733,0.00011044037244592407,0.0041443603680738515,0.19741045790627826,0.0005594453992825257,605810,0.9457402582399655,20.941076727426875,0.7571004662992794,10,0.0985329278164293,10,10,10,8.686500527183187,0.1850243802325499,0.01591475301937754,0.009424574658083676,0.018369853749615247,2.60408945689213,0.007497336276876137,0.029988438899289316,2,300,1,,0.0026494277236117
10000,1183,8032,7261,12217,20,161.95612214645715,0.00037772856910180304,0.02088076599195334,0.15652084264659508,0.0024132796802957927,714540,0.8123095811923059,37.42958790394308,2.8145567743848208,9.733727810650887,1.734519565676665,8,10,12,3.636349148477942,0.25191032343713365,0.00954164316808369,0.004179602676409537,0.012188097703260974,2.5937501130932743,0.01022103756165952,0.04100365010082446,0.9492814877430262,194.92814877430263,1,,0.0888057120681127
12500,1406,19247,19024,6678,45,149.432329564536,0.0006385696040868455,0.0530321988655322,0.07400467996732364,0.008628773266350214,1206036,0.5314741401040354,71.56050598902944,7.848986902496362,10.11379800853485,3.243747933080998,6,10,15,3.1824463060786083,0.3925268470896546,0.0037824188779389672,0.0036515941590306864,0.0041869997776581395,2.330605801744121,0.011636971328614186,0.0604966210906805,0.8854907539118065,188.54907539118065,1,,0.5076322816800233
15000,1452,18091,18045,6107,62,197.39798983364142,0.0002488645554656878,0.05248507388742566,0.060896926292309854,0.0040866521615741174,1237236,0.44234457253424747,72.31400184842883,10.33826247689464,8.62534435261708,3.0629514709471537,5,9,12,3.040400461059827,0.4104344219948759,0.0069340960022557605,0.006626851249570448,0.007291088886626396,2.2069955450708623,0.01061212317741207,0.0523183346973715,0.8174931129476584,181.74931129476585,1,,0.6046612320257809
17500,1548,17422,17326,5887,80,211.9706289497442,0.0002475483570243675,0.05198037279094738,0.05988476061370614,0.004133745455228718,1224941,0.4290588028017313,70.61691242852844,10.99121275955462,8.599483204134367,3.005773899598249,4,10,12,2.945306068383842,0.4112795930139604,0.007238680974920148,0.00633040008598017,0.008009056319455232,2.1796064322996695,0.010856329477179722,0.059165729926883355,0.8126614987080103,181.26614987080103,1,,0.5874216507706627
20000,1571,17281,17258,5705,98,220.47172089092774,0.000274032799324198,0.05153072156056766,0.05665409773199647,0.004836945786702253,1201108,0.4083624844837909,70.36880545663065,11.40725538721555,7.831954169318905,2.7598139104486186,4,8,10,2.994595156120912,0.4240878932440044,0.008207159111345421,0.006368459974632161,0.008882066351294102,2.1267954144388805,0.00883380069175809,0.0638785490649801,0.7829408020369192,178.29408020369192,1,,0.5715226347865081
22500,1535,17207,17243,5385,108,224.76573849878935,0.00026801026294933137,0.0513711276792342,0.05124420357664105,0.005230060070081762,1171552,0.3909695547850347,70.00605326876513,11.548970944309927,8.564820846905537,3.2453725839950214,4,10,12,2.9364780901097567,0.4374792232653576,0.008790584503146676,0.007966853421721865,0.009221630331444474,2.0948891086172514,0.0080826488678818,0.06832621229689163,0.745928338762215,174.5928338762215,1,,0.5729888983990898
25000,1581,16899,16853,5243,120,232.79063565891474,0.00027301220107679616,0.051270949912985635,0.047419385931742185,0.005757396383617945,1150920,0.384057342311979,69.31472868217054,11.930790697674418,8.80012650221379,3.2335644825694234,4,9,13,2.8480461563337904,0.4348048562912971,0.009023174505000378,0.007414398802818676,0.009687851497753556,2.0846995294940576,0.009086650331593478,0.06813123901369156,0.7691334598355472,176.9133459835547,1,,0.5749818148150925
